epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6314,0.68927,3.69676,1.1773,0.02849,0.50177,0.11863,0.09649,0.42468,4.04151,1.01578,0.00011172,0.00011172,0.00011172
2,145.786,0.4247,3.4671,1.02104,0.0231,1,0.28374,0.26541,0.28036,3.96111,0.86548,0.00022705,0.00022705,0.00022705
3,217.127,0.43008,3.16366,0.9911,0.01095,1,0.33285,0.28095,0.4632,3.75811,1.04449,0.000340051,0.000340051,0.000340051
4,287.781,0.42808,2.91726,0.98246,0.89379,0.0303,0.30836,0.2813,0.46096,3.50361,1.01682,0.000450724,0.000450724,0.000450724
5,357.695,0.41985,2.56083,0.98036,0.53894,0.5271,0.49996,0.44853,0.49567,3.13486,1.02754,0.000559068,0.000559068,0.000559068
6,427.144,0.46919,2.34497,1.0027,0.28991,0.78921,0.53836,0.49023,0.42332,2.78695,0.93089,0.000558894,0.000558894,0.000558894
7,495.533,0.46621,2.08905,1.00346,0.39593,0.84947,0.58839,0.54399,0.42998,2.55445,0.93248,0.000553073,0.000553073,0.000553073
8,564.201,0.40578,1.80787,0.95707,0.53541,0.74186,0.64255,0.58928,0.41074,2.12158,0.91965,0.000547252,0.000547252,0.000547252
9,633.777,0.40668,1.67388,0.96291,0.34788,0.7791,0.6138,0.57282,0.40991,2.60618,0.93571,0.00054143,0.00054143,0.00054143
10,702.993,0.39227,1.49995,0.95288,0.65259,0.66856,0.74427,0.69213,0.40532,1.91755,0.90611,0.000535609,0.000535609,0.000535609
11,771.574,0.39562,1.45673,0.95881,0.62656,0.78959,0.80256,0.74483,0.39246,1.80781,0.90797,0.000529788,0.000529788,0.000529788
12,840.312,0.37593,1.27447,0.94318,0.54268,0.72577,0.71995,0.68028,0.37715,2.14955,0.90697,0.000523967,0.000523967,0.000523967
13,908.34,0.37551,1.28322,0.94981,0.79057,0.65508,0.83083,0.76319,0.39215,1.67687,0.91726,0.000518146,0.000518146,0.000518146
14,975.957,0.36309,1.19176,0.92651,0.79006,0.82306,0.90503,0.84775,0.35383,1.43061,0.88029,0.000512324,0.000512324,0.000512324
15,1044.11,0.35279,1.12359,0.93233,0.8006,0.78454,0.9131,0.84334,0.36645,1.41179,0.91047,0.000506503,0.000506503,0.000506503
16,1111.73,0.37398,1.10193,0.92725,0.67461,0.73227,0.76305,0.70886,0.42111,1.76332,0.90878,0.000500682,0.000500682,0.000500682
17,1179.17,0.36208,1.10572,0.92782,0.62749,0.72848,0.70566,0.65242,0.38305,2.32225,0.90039,0.000494861,0.000494861,0.000494861
18,1246.03,0.37075,0.98779,0.93725,0.82442,0.64511,0.78424,0.7305,0.35518,1.68292,0.88253,0.00048904,0.00048904,0.00048904
19,1313.47,0.36821,0.99783,0.94828,0.75506,0.85486,0.92869,0.86353,0.37989,1.17841,0.92415,0.000483218,0.000483218,0.000483218
20,1380.86,0.33313,0.90983,0.92484,0.72584,0.82241,0.90329,0.8575,0.33858,1.41564,0.85094,0.000477397,0.000477397,0.000477397
21,1447.86,0.34893,0.91816,0.92471,0.69314,0.82452,0.83114,0.77203,0.34788,1.25723,0.85892,0.000471576,0.000471576,0.000471576
22,1515.21,0.34773,0.89577,0.92507,0.65077,0.57162,0.72641,0.65616,0.41811,2.04916,0.91397,0.000465755,0.000465755,0.000465755
23,1582.15,0.34139,0.85384,0.92088,0.9012,0.81495,0.95418,0.89112,0.35688,1.03939,0.84869,0.000459934,0.000459934,0.000459934
24,1648.98,0.33442,0.84045,0.92322,0.87384,0.92163,0.92651,0.8738,0.34396,0.96012,0.84203,0.000454112,0.000454112,0.000454112
25,1715.72,0.31983,0.79762,0.92,0.90833,0.86803,0.93864,0.88889,0.34398,1.01872,0.84806,0.000448291,0.000448291,0.000448291
26,2038.39,0.31763,0.77795,0.91775,0.76267,0.91351,0.9379,0.88652,0.32115,1.3139,0.82723,0.00044247,0.00044247,0.00044247
27,2107.68,0.32431,0.78873,0.92518,0.85801,0.81704,0.9324,0.86097,0.355,1.00004,0.84841,0.000436649,0.000436649,0.000436649
28,2178.47,0.30164,0.71729,0.90368,0.91001,0.89569,0.98725,0.93296,0.34951,0.78283,0.856,0.000430828,0.000430828,0.000430828
29,2252.36,0.31964,0.69673,0.9158,0.83704,0.90694,0.97046,0.92741,0.31999,0.97947,0.83401,0.000425006,0.000425006,0.000425006
30,2322.74,0.31179,0.70427,0.91376,0.91506,0.89642,0.97667,0.90511,0.35858,0.89547,0.8663,0.000419185,0.000419185,0.000419185
31,2396.18,0.31158,0.7002,0.91539,0.89495,0.8958,0.98044,0.93076,0.31289,0.77231,0.83398,0.000413364,0.000413364,0.000413364
32,2469.99,0.32093,0.67772,0.90146,0.94509,0.92099,0.97757,0.92113,0.32969,0.7737,0.83307,0.000407543,0.000407543,0.000407543
33,2544.06,0.30566,0.66494,0.91599,0.88423,0.81158,0.9497,0.89177,0.33903,1.00603,0.84763,0.000401722,0.000401722,0.000401722
34,2615.17,0.31988,0.64309,0.92096,0.9378,0.88851,0.96462,0.90775,0.33393,0.82821,0.85615,0.0003959,0.0003959,0.0003959
35,2685,0.31334,0.65272,0.90796,0.88218,0.9039,0.95718,0.89619,0.34932,0.77228,0.88275,0.000390079,0.000390079,0.000390079
36,2755.2,0.31016,0.63273,0.91093,0.78422,0.93984,0.97383,0.91488,0.35723,0.96467,0.87834,0.000384258,0.000384258,0.000384258
37,2825.61,0.32041,0.62912,0.9241,0.87548,0.86306,0.94586,0.87788,0.34464,1.0535,0.86192,0.000378437,0.000378437,0.000378437
38,2896.28,0.29247,0.61002,0.90602,0.91719,0.887,0.95535,0.90118,0.32678,0.80431,0.8418,0.000372616,0.000372616,0.000372616
39,2967.87,0.28768,0.61722,0.89875,0.93336,0.87184,0.96337,0.91989,0.31084,0.70976,0.83114,0.000366794,0.000366794,0.000366794
40,3043.47,0.29621,0.57634,0.90037,0.93322,0.81451,0.93163,0.88113,0.32503,0.79725,0.84341,0.000360973,0.000360973,0.000360973
41,3119,0.29672,0.60196,0.90311,0.93342,0.91633,0.97498,0.92314,0.32799,0.66673,0.83686,0.000355152,0.000355152,0.000355152
42,3188.33,0.29814,0.60902,0.90788,0.95895,0.95983,0.99214,0.93627,0.32712,0.6389,0.84292,0.000349331,0.000349331,0.000349331
43,3260.09,0.30312,0.59012,0.9032,0.96318,0.92878,0.98977,0.93056,0.34404,0.62597,0.86195,0.00034351,0.00034351,0.00034351
44,3332.04,0.28906,0.56864,0.90214,0.95602,0.92616,0.99202,0.93243,0.31951,0.60957,0.84017,0.000337688,0.000337688,0.000337688
45,3403.03,0.28601,0.57292,0.90003,0.92182,0.92659,0.95118,0.89304,0.31357,0.64749,0.83455,0.000331867,0.000331867,0.000331867
46,3474.55,0.29183,0.55767,0.90217,0.83166,0.84619,0.9348,0.88093,0.31362,0.89812,0.82966,0.000326046,0.000326046,0.000326046
47,3544.97,0.28321,0.55405,0.89982,0.93546,0.91198,0.98259,0.92853,0.33356,0.62968,0.83725,0.000320225,0.000320225,0.000320225
48,3614.07,0.28765,0.52972,0.89276,0.95726,0.97897,0.995,0.93729,0.3117,0.55156,0.82892,0.000314404,0.000314404,0.000314404
49,3683.72,0.27708,0.54915,0.90465,0.961,0.92583,0.995,0.93851,0.30217,0.53573,0.82302,0.000308582,0.000308582,0.000308582
50,3754.12,0.27553,0.52414,0.89929,0.88057,0.9285,0.98237,0.929,0.30057,0.59773,0.82638,0.000302761,0.000302761,0.000302761
51,3823.02,0.2712,0.49738,0.89821,0.92373,0.95267,0.98989,0.93072,0.31497,0.58173,0.83683,0.00029694,0.00029694,0.00029694
52,3892.25,0.27115,0.51787,0.89291,0.9326,0.93705,0.98998,0.93241,0.32118,0.58981,0.84929,0.000291119,0.000291119,0.000291119
53,3962.47,0.2714,0.50522,0.90069,0.94661,0.94736,0.98629,0.92091,0.31954,0.56503,0.83566,0.000285298,0.000285298,0.000285298
54,4032.13,0.27586,0.48847,0.89899,0.92112,0.91231,0.97498,0.92552,0.29945,0.58692,0.81978,0.000279476,0.000279476,0.000279476
55,4103.94,0.26716,0.47587,0.89896,0.96206,0.95456,0.99126,0.92521,0.31208,0.52127,0.82953,0.000273655,0.000273655,0.000273655
56,4176.21,0.27345,0.48651,0.88595,0.95337,0.95068,0.98742,0.93318,0.31438,0.56123,0.82994,0.000267834,0.000267834,0.000267834
57,4247.8,0.2725,0.4675,0.89475,0.94495,0.96876,0.98672,0.93196,0.32678,0.54916,0.83533,0.000262013,0.000262013,0.000262013
58,4316.87,0.2696,0.44914,0.88495,0.95335,0.96641,0.98136,0.9328,0.29484,0.52978,0.81747,0.000256192,0.000256192,0.000256192
59,4385.13,0.27486,0.43261,0.89806,0.93159,0.94196,0.99045,0.9279,0.3233,0.55211,0.82921,0.00025037,0.00025037,0.00025037
60,4454.04,0.2587,0.46252,0.89311,0.934,0.93541,0.98617,0.93493,0.31365,0.55839,0.82349,0.000244549,0.000244549,0.000244549
61,4524.38,0.2578,0.43845,0.89525,0.95921,0.89323,0.99374,0.94153,0.29399,0.55091,0.81566,0.000238728,0.000238728,0.000238728
62,4597.94,0.25058,0.42909,0.88479,0.97466,0.96369,0.995,0.94887,0.289,0.451,0.81868,0.000232907,0.000232907,0.000232907
63,4666.53,0.26215,0.43369,0.89165,0.98061,0.97204,0.995,0.92895,0.29853,0.463,0.82489,0.000227086,0.000227086,0.000227086
64,4735.26,0.25662,0.42186,0.89455,0.96219,0.91835,0.99045,0.93142,0.31096,0.53625,0.82573,0.000221264,0.000221264,0.000221264
65,4803.5,0.26009,0.42392,0.89259,0.95022,0.91027,0.99247,0.94831,0.29081,0.54667,0.81328,0.000215443,0.000215443,0.000215443
66,4872.24,0.25752,0.42517,0.89759,0.93737,0.94077,0.9824,0.92835,0.31564,0.54115,0.81474,0.000209622,0.000209622,0.000209622
67,4943.9,0.26397,0.43121,0.8967,0.97079,0.93109,0.98629,0.93562,0.29512,0.49293,0.81458,0.000203801,0.000203801,0.000203801
68,5014.9,0.25944,0.41952,0.89178,0.96719,0.98265,0.995,0.93959,0.30579,0.44081,0.81673,0.00019798,0.00019798,0.00019798
69,5084.78,0.25716,0.39696,0.8917,0.9734,0.96492,0.995,0.94363,0.28797,0.456,0.81232,0.000192158,0.000192158,0.000192158
70,5158.72,0.25044,0.40366,0.88879,0.94337,0.96651,0.995,0.94221,0.30584,0.46748,0.82013,0.000186337,0.000186337,0.000186337
71,5233.55,0.24237,0.39939,0.89027,0.91329,0.98004,0.995,0.94532,0.29724,0.45728,0.8157,0.000180516,0.000180516,0.000180516
72,5310.3,0.24568,0.37945,0.88471,0.96827,0.97359,0.995,0.94196,0.28066,0.42483,0.81209,0.000174695,0.000174695,0.000174695
73,5382.8,0.22971,0.38083,0.88325,0.95747,0.9885,0.995,0.95458,0.28661,0.43767,0.81215,0.000168874,0.000168874,0.000168874
74,5454.45,0.23673,0.39525,0.89159,0.91556,0.95577,0.995,0.94725,0.29824,0.49407,0.81886,0.000163052,0.000163052,0.000163052
75,5522.79,0.24364,0.39298,0.8831,0.9252,0.93573,0.96364,0.91986,0.27775,0.49148,0.81088,0.000157231,0.000157231,0.000157231
76,5591.21,0.2495,0.41217,0.87708,0.91683,0.95676,0.97864,0.94422,0.27834,0.48664,0.80605,0.00015141,0.00015141,0.00015141
77,5660.06,0.23757,0.36994,0.88092,0.92189,0.9568,0.995,0.94902,0.27402,0.45178,0.80489,0.000145589,0.000145589,0.000145589
78,5728.7,0.23841,0.37602,0.89251,0.90288,0.98825,0.995,0.95398,0.28163,0.44181,0.80657,0.000139768,0.000139768,0.000139768
79,5797.09,0.23985,0.36849,0.88848,0.93562,0.95576,0.995,0.94807,0.28099,0.46342,0.80907,0.000133946,0.000133946,0.000133946
80,5865.42,0.23894,0.35732,0.87966,0.93193,0.96656,0.99202,0.93849,0.2943,0.46165,0.81426,0.000128125,0.000128125,0.000128125
81,5933.8,0.23095,0.36782,0.88249,0.95064,0.9812,0.995,0.94565,0.27612,0.43876,0.80612,0.000122304,0.000122304,0.000122304
82,6001.96,0.23077,0.38184,0.88943,0.96197,0.98173,0.995,0.95462,0.27816,0.42955,0.80757,0.000116483,0.000116483,0.000116483
83,6070.34,0.23404,0.35536,0.88594,0.97355,0.97437,0.995,0.93897,0.28945,0.41673,0.81224,0.000110662,0.000110662,0.000110662
84,6139.03,0.21806,0.33862,0.88215,0.97174,0.95557,0.995,0.93586,0.29481,0.42321,0.8141,0.00010484,0.00010484,0.00010484
85,6207.05,0.21386,0.33075,0.87585,0.96895,0.94343,0.995,0.93997,0.28229,0.42682,0.80771,9.90192e-05,9.90192e-05,9.90192e-05
