epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4201,0.65643,3.70561,1.18341,0.0217,0.60721,0.10583,0.07239,0.39482,4.04494,0.96946,0.00011172,0.00011172,0.00011172
2,148.285,0.42655,3.43717,1.00266,0.01887,1,0.29914,0.262,0.42287,3.9787,0.95778,0.00022705,0.00022705,0.00022705
3,222.494,0.41405,3.1728,0.97876,0.01591,1,0.29243,0.27102,0.37636,3.78996,0.94834,0.000340051,0.000340051,0.000340051
4,295.697,0.41765,2.9059,0.98915,0.90909,0.03968,0.4037,0.36365,0.533,3.49356,1.11049,0.000450724,0.000450724,0.000450724
5,369.643,0.4384,2.54286,0.98292,0.69028,0.49103,0.60319,0.56128,0.42409,2.7023,0.95827,0.000559068,0.000559068,0.000559068
6,443.64,0.42124,2.2333,0.96675,0.3717,0.57461,0.52608,0.42482,0.55555,3.14929,1.01771,0.000558894,0.000558894,0.000558894
7,517.418,0.42495,2.01643,0.97516,0.47189,0.57838,0.61101,0.56065,0.45118,3.43899,0.95817,0.000553073,0.000553073,0.000553073
8,590.092,0.42328,1.79426,0.97008,0.41285,0.72081,0.5608,0.51008,0.4568,2.69148,0.94779,0.000547252,0.000547252,0.000547252
9,663.576,0.3767,1.63538,0.94204,0.47726,0.58736,0.56966,0.53337,0.37701,2.93775,0.90864,0.00054143,0.00054143,0.00054143
10,734.803,0.3782,1.49795,0.94074,0.55375,0.77557,0.77755,0.71042,0.42476,1.9305,0.93775,0.000535609,0.000535609,0.000535609
11,810.024,0.37757,1.43208,0.9637,0.53395,0.70148,0.68931,0.63364,0.40846,2.51753,0.8902,0.000529788,0.000529788,0.000529788
12,888.131,0.37476,1.33122,0.95286,0.47816,0.58293,0.67687,0.64392,0.39691,1.99097,0.8832,0.000523967,0.000523967,0.000523967
13,968.189,0.37546,1.30357,0.93723,0.76552,0.73906,0.75766,0.69189,0.35172,1.92626,0.88276,0.000518146,0.000518146,0.000518146
14,1048.24,0.37304,1.26678,0.93606,0.76131,0.81288,0.91839,0.84443,0.36534,1.43749,0.88586,0.000512324,0.000512324,0.000512324
15,1125.45,0.38505,1.18162,0.94492,0.73434,0.71056,0.72405,0.65193,0.41078,1.9514,0.94007,0.000506503,0.000506503,0.000506503
16,1206.23,0.37699,1.08116,0.94241,0.77811,0.6985,0.80185,0.74449,0.37798,2.16958,0.8955,0.000500682,0.000500682,0.000500682
